iter	Passed	Remaining
437	1344	1725
438	1347	1721
439	1349	1717
440	1352	1714
441	1355	1710
442	1360	1710
443	1362	1706
444	1365	1703
445	1368	1699
446	1370	1696
447	1375	1695
448	1378	1691
449	1381	1688
450	1383	1684
451	1386	1681
452	1391	1680
453	1394	1676
454	1397	1673
455	1399	1670
456	1402	1666
457	1406	1663
458	1409	1660
459	1412	1658
460	1415	1654
461	1420	1654
462	1423	1651
463	1426	1647
464	1429	1644
465	1432	1641
466	1438	1641
467	1441	1638
468	1444	1635
469	1447	1631
470	1452	1631
471	1454	1627
472	1457	1624
473	1460	1620
474	1463	1617
475	1469	1617
476	1471	1613
477	1474	1610
478	1477	1606
479	1479	1603
480	1484	1601
481	1486	1597
482	1488	1593
483	1491	1589
484	1493	1585
485	1495	1581
486	1499	1579
487	1502	1576
488	1504	1572
489	1506	1568
490	1508	1564
491	1511	1560
492	1517	1560
493	1520	1556
494	1522	1553
495	1524	1549
496	1527	1545
497	1531	1543
498	1533	1539
499	1535	1535
500	1538	1531
501	1540	1527
502	1542	1524
503	1545	1520
504	1548	1517
505	1550	1513
506	1552	1509
507	1554	1505
508	1557	1502
509	1559	1498
510	1563	1496
511	1566	1492
512	1568	1489
513	1571	1485
514	1573	1482
515	1577	1479
516	1580	1476
517	1582	1472
518	1584	1468
519	1587	1465
520	1590	1462
521	1593	1459
522	1596	1456
523	1598	1452
524	1600	1448
525	1603	1444
526	1605	1440
527	1607	1436
528	1611	1434
529	1613	1430
530	1615	1427
531	1617	1423
532	1620	1419
533	1622	1415
534	1626	1413
535	1628	1409
536	1630	1406
537	1633	1402
538	1635	1398
539	1637	1395
540	1641	1392
541	1644	1389
542	1647	1386
543	1649	1382
544	1651	1379
545	1654	1375
546	1658	1373
547	1661	1370
548	1663	1366
549	1665	1362
550	1667	1358
551	1669	1355
552	1673	1352
553	1676	1349
554	1678	1346
555	1681	1342
556	1683	1338
557	1685	1335
558	1689	1333
559	1692	1329
560	1694	1326
561	1696	1322
562	1698	1318
563	1701	1314
564	1704	1312
565	1707	1309
566	1710	1305
567	1712	1302
568	1714	1298
569	1716	1295
570	1719	1291
571	1722	1289
572	1724	1285
573	1727	1281
574	1729	1278
575	1731	1274
576	1733	1271
577	1737	1268
578	1740	1265
579	1742	1261
580	1744	1257
581	1746	1254
582	1748	1250
583	1752	1248
584	1755	1245
585	1758	1242
586	1760	1238
587	1762	1235
588	1765	1231
589	1769	1229
590	1772	1226
591	1774	1222
592	1776	1219
593	1778	1215
594	1781	1212
595	1785	1210
596	1787	1206
597	1790	1203
598	1792	1199
599	1794	1196
600	1797	1193
601	1802	1191
602	1805	1188
603	1808	1185
604	1810	1182
605	1813	1179
606	1817	1176
607	1820	1173
608	1822	1170
609	1825	1166
610	1827	1163
611	1830	1160
612	1834	1158
613	1836	1154
614	1839	1151
615	1841	1148
616	1843	1144
617	1848	1142
618	1850	1139
619	1853	1135
620	1855	1132
621	1857	1128
622	1859	1125
623	1862	1122
624	1865	1119
625	1867	1115
626	1870	1112
627	1872	1109
628	1874	1105
629	1876	1101
630	1880	1099
631	1882	1096
632	1884	1092
633	1887	1089
634	1889	1085
635	1891	1082
636	1893	1079
637	1896	1076
638	1899	1072
639	1902	1070
640	1905	1067
641	1907	1063
642	1911	1061
643	1913	1057
644	1916	1054
645	1918	1051
646	1920	1047
647	1922	1044
648	1925	1041
649	1928	1038
650	1930	1035
651	1933	1031
652	1935	1028
653	1937	1025
654	1939	1021
655	1943	1019
656	1946	1016
657	1949	1013
658	1952	1010
659	1954	1006
660	1959	1004
661	1961	1001
662	1964	998
663	1966	995
664	1969	991
665	1971	988
666	1975	986
667	1977	983
668	1980	979
669	1982	976
670	1984	972
671	1986	969
672	1990	967
673	1993	964
674	1995	960
675	1997	957
676	1999	954
677	2001	950
678	2005	948
679	2008	944
680	2010	941
681	2012	938
682	2014	934
683	2016	931
684	2018	928
685	2022	925
686	2024	922
687	2027	919
688	2029	915
689	2031	912
690	2033	909
691	2038	907
692	2040	904
693	2042	900
694	2045	897
695	2047	894
696	2049	890
697	2053	888
698	2056	885
699	2058	882
700	2060	879
701	2063	875
702	2065	872
703	2070	870
704	2072	867
705	2074	863
706	2076	860
707	2079	857
708	2081	854
709	2085	851
710	2088	848
711	2090	845
712	2093	842
713	2095	839
714	2097	836
715	2102	833
716	2104	830
717	2107	827
718	2110	824
719	2113	821
720	2118	819
721	2120	816
722	2123	813
723	2125	810
724	2127	806
725	2129	803
726	2133	801
727	2136	798
728	2138	795
729	2141	791
730	2143	788
731	2145	785
732	2150	783
733	2152	779
734	2154	776
735	2156	773
736	2158	770
737	2161	767
738	2165	764
739	2167	761
740	2169	758
741	2172	755
742	2174	752
743	2176	748
744	2180	746
745	2183	743
746	2185	740
747	2187	736
748	2189	733
749	2191	730
750	2194	727
751	2198	724
752	2201	722
753	2204	719
754	2207	716
755	2213	714
756	2216	711
757	2219	708
758	2222	705
759	2225	702
760	2230	700
761	2233	697
762	2236	694
763	2239	691
764	2245	689
765	2248	686
766	2251	684
767	2255	681
768	2260	679
769	2264	676
770	2267	673
771	2270	670
772	2276	668
773	2281	666
774	2284	663
775	2287	660
776	2292	658
777	2295	655
778	2298	652
779	2301	649
